"","Model","Sample","D47","D47error","meanTemp","Temp_L","Temp_H"
"54","Deming_simple","Test9",0.8,0.02,-8.77950040906984,-22.1668364576926,7.00730262054037
"55","WOLS_classic","Test1",0.6,0.005,59.0091686432245,54.2550251786142,63.7633121078348
"56","WOLS_classic","Test2",0.7,0.005,18.6975449638682,15.4646968721265,21.9303930556099
"57","WOLS_classic","Test3",0.8,0.005,-9.7852881770707,-12.1647177043821,-7.40585864975925
"58","WOLS_classic","Test4",0.6,0.01,59.0091686432245,49.6035343908982,68.4148028955508
"59","WOLS_classic","Test5",0.7,0.01,18.6975449638682,12.2860489436026,25.1090409841337
"60","WOLS_classic","Test6",0.8,0.01,-9.7852881770707,-14.5115433479527,-5.0590330061887
"61","WOLS_classic","Test7",0.6,0.02,59.0091686432245,40.5941220767359,77.4242152097131
"62","WOLS_classic","Test8",0.7,0.02,18.6975449638682,6.08541988191632,31.30967004582
"63","WOLS_classic","Test9",0.8,0.02,-9.7852881770707,-19.1103112077355,-0.460265146405845
"64","WOLS_simple","Test1",0.6,0.005,59.0091686432245,33.0364045594484,92.9556637583435
"65","WOLS_simple","Test2",0.7,0.005,18.6975449638682,0.607464177355212,40.9239536671882
"66","WOLS_simple","Test3",0.8,0.005,-9.7852881770707,-23.3079904445074,6.20121407826082
"67","WOLS_simple","Test4",0.6,0.01,59.0091686432245,33.0364045594484,92.9556637583435
"68","WOLS_simple","Test5",0.7,0.01,18.6975449638682,0.607464177355212,40.9239536671882
"69","WOLS_simple","Test6",0.8,0.01,-9.7852881770707,-23.3079904445074,6.20121407826082
"70","WOLS_simple","Test7",0.6,0.02,59.0091686432245,33.0364045594484,92.9556637583435
"71","WOLS_simple","Test8",0.7,0.02,18.6975449638682,0.607464177355212,40.9239536671882
"72","WOLS_simple","Test9",0.8,0.02,-9.7852881770707,-23.3079904445074,6.20121407826082
"73","BayesianBLM1_noninformative","Test1",0.6,0.005,57.5611951446335,33.7832831856047,87.9486314220476
"74","BayesianBLM1_noninformative","Test2",0.7,0.005,18.3768294883023,1.71197645490645,38.51183167722
"75","BayesianBLM1_noninformative","Test3",0.8,0.005,-9.53231341203877,-22.0557544649053,5.03884902113651
"76","BayesianBLM1_noninformative","Test4",0.6,0.01,57.5629136274583,33.8116290089751,87.9213906012776
"77","BayesianBLM1_noninformative","Test5",0.7,0.01,18.3854151308867,1.73287018136006,38.4845123128888
"78","BayesianBLM1_noninformative","Test6",0.8,0.01,-9.52780912924078,-22.0590454986862,5.0740024781411
"79","BayesianBLM1_noninformative","Test7",0.6,0.02,57.5591735453928,33.7631118611347,87.9929972209476
"80","BayesianBLM1_noninformative","Test8",0.7,0.02,18.373754801067,1.69290706960089,38.4855794081085
"81","BayesianBLM1_noninformative","Test9",0.8,0.02,-9.52819393056149,-22.0636744628246,5.04892445552287
"82","BayesianBLM1_NoErrors_noninformative","Test1",0.6,0.005,57.7316016040543,33.5401635605614,88.7966735099944
"83","BayesianBLM1_NoErrors_noninformative","Test2",0.7,0.005,18.4015410403517,1.49661378021671,38.9087100347649
"84","BayesianBLM1_NoErrors_noninformative","Test3",0.8,0.005,-9.58376634397632,-22.2943251589503,5.23331859845587
