,Type,Model,D47,D47se,Tc,se
66,BayClump,WOLS,0.8,0.005,-9.832303109,2.895056968
67,BayClump,WOLS,0.6,0.01,57.04527292,5.729251282
68,BayClump,WOLS,0.7,0.01,17.53865272,3.899795602
69,BayClump,WOLS,0.8,0.01,-8.763040277,2.930589455
70,BayClump,WOLS,0.6,0.02,65.34682593,6.17587285
71,BayClump,WOLS,0.7,0.02,20.91643602,4.038048832
72,BayClump,WOLS,0.8,0.02,-13.15237328,2.786579911
73,Bayesian,BLM1_fit,0.6,0.005,56.44363472,1.334758325
74,Bayesian,BLM1_fit,0.7,0.005,17.86443592,0.919817517
75,Bayesian,BLM1_fit,0.8,0.005,-9.712208066,0.6842269
76,Bayesian,BLM1_fit,0.6,0.01,56.44659623,2.650368827
77,Bayesian,BLM1_fit,0.7,0.01,17.86464967,1.83237721
78,Bayesian,BLM1_fit,0.8,0.01,-9.713189442,1.360349954
79,Bayesian,BLM1_fit,0.6,0.02,56.44936435,5.210740525
80,Bayesian,BLM1_fit,0.7,0.02,17.86564425,3.611796264
81,Bayesian,BLM1_fit,0.8,0.02,-9.71357364,2.691618975
82,Bayesian,BLM1_fit_NoErrors,0.6,0.005,56.36162504,1.334522864
83,Bayesian,BLM1_fit_NoErrors,0.7,0.005,17.83528453,0.918550953
84,Bayesian,BLM1_fit_NoErrors,0.8,0.005,-9.712453102,0.682803128
85,Bayesian,BLM1_fit_NoErrors,0.6,0.01,56.35744961,2.64746709
86,Bayesian,BLM1_fit_NoErrors,0.7,0.01,17.83595638,1.827029706
87,Bayesian,BLM1_fit_NoErrors,0.8,0.01,-9.711192854,1.359533498
88,Bayesian,BLM1_fit_NoErrors,0.6,0.02,56.36347361,5.211434393
89,Bayesian,BLM1_fit_NoErrors,0.7,0.02,17.83528195,3.61055758
90,Bayesian,BLM1_fit_NoErrors,0.8,0.02,-9.711026011,2.690367605
91,Bayesian,BLM3,0.6,0.005,56.57025607,1.342139163
92,Bayesian,BLM3,0.7,0.005,17.83334021,0.922939911
93,Bayesian,BLM3,0.8,0.005,-9.821246583,0.686060032
94,Bayesian,BLM3,0.6,0.01,56.57286203,2.661059042
95,Bayesian,BLM3,0.7,0.01,17.83349819,1.835831731
96,Bayesian,BLM3,0.8,0.01,-9.822315844,1.363186306
97,Bayesian,BLM3,0.6,0.02,56.56758222,5.243318495
98,Bayesian,BLM3,0.7,0.02,17.8377573,3.619696721
99,Bayesian,BLM3,0.8,0.02,-9.820673122,2.698263135
