Sample.Name,Mineralogy,Material,N,D47,D47error,Temperature,TempError,Temperature_original,TempError_original
140727_2_UWcp14_50C_3,C,1,1,0.6839,NA,9.635710173,0.007174543,49,0.12
140727_3_UWcp14_50C_3,C,1,1,0.6245,NA,9.635710173,0.007174543,49,0.12
140802_1_UWcp14_70C_4,C,1,1,0.5843,NA,8.394295329,0.020876795,72,0.43
140802_3_UWcp14_20C_4,unkn,1,1,0.6594,NA,11.40188158,0.025367829,23,0.33
140804_3_UWcp14_20C_9,C,1,1,0.7358,NA,11.40188158,0.025367829,23,0.33
140804_4_UWcp14_20C_4,unkn,1,1,0.7549,NA,11.40188158,0.025367829,23,0.33
140804_5_UWcp14_20C_CA_5,unkn,1,1,0.7164,NA,11.40188158,0.025367829,23,0.33
140804_7_UWcp14_70C_4,C,1,1,0.5967,NA,8.394295329,0.020876795,72,0.43
140804_8_UWcp14_20C_9,C,1,1,0.7,NA,11.40188158,0.025367829,23,0.33
140804_9_UWcp14_20C_4,unkn,1,1,0.6932,NA,11.40188158,0.025367829,23,0.33
140804_10_UWcp14_20C_CA_5,unkn,1,1,0.7191,NA,11.40188158,0.025367829,23,0.33
140805_12_UWcp14_70C_CA_5,C,1,1,0.5751,NA,8.492430347,0.049281372,70,1
140805_14_UWcp14_50C_5,C,1,1,0.6249,NA,9.695811136,0.046327323,48,0.77
140806_12_UWcp14_50C_4,unkn,1,1,0.646,NA,9.75647616,0.079958366,47,1.32
140806_13_UWcp14_70C_CA_5,C,1,1,0.557,NA,8.492430347,0.049281372,70,1
140807_11_UWcp14_20C_10,C,1,1,0.6902,NA,11.32526912,0.032706145,24,0.43
140807_12_UWcp14_20C_10,C,1,1,0.6862,NA,11.32526912,0.032706145,24,0.43
140807_13_UWcp14_20C_10,C,1,1,0.7003,NA,11.32526912,0.032706145,24,0.43
140807_15_UWcp14_50C_5,C,1,1,0.6449,NA,9.695811136,0.046327323,48,0.77
140809_3_UWcp14_50C_4,unkn,1,1,0.6259,NA,9.75647616,0.079958366,47,1.32
140809_5_UWcp14_CA_70C_CA_5,C,1,1,0.5829,NA,8.492430347,0.049281372,70,1
140811_7_UWcp14_70C_4,C,1,1,0.5692,NA,8.394295329,0.020876795,72,0.43
140813_1_UWcp14_60C_1,A,1,1,0.5864,NA,8.95606154,0.045922968,61,0.86
140813_2_UWcp14_60C_1,A,1,1,0.5669,NA,8.95606154,0.045922968,61,0.86
140813_4_UWcp14_60C_1,A,1,1,0.619,NA,8.95606154,0.045922968,61,0.86
140813_6_UWcp14_20C_CA_11,C,1,1,0.7296,NA,11.40188158,0.026135229,23,0.34
140813_7_UWcp14_20C_CA_11,C,1,1,0.7023,NA,11.40188158,0.026135229,23,0.34
140813_8_UWcp14_20C_CA_11,C,1,1,0.7301,NA,11.40188158,0.026135229,23,0.34
140813_9_UWcp14_50C_4,unkn,1,1,0.677,NA,9.75647616,0.079958366,47,1.32
140813_10_UWcp14_20C_9,C,1,1,0.6763,NA,11.40188158,0.025367829,23,0.33
140814_1_UWcp14_60C_2,C,1,1,0.5932,NA,8.693934366,0.11723222,66,2.31
140814_2_UWcp14_60C_2,C,1,1,0.6305,NA,8.693934366,0.11723222,66,2.31
140814_3_UWcp14_60C_2,C,1,1,0.6422,NA,8.693934366,0.11723222,66,2.31
140814_4_UWcp14_35C_1,unkn,1,1,0.698,NA,10.53114654,0.048361846,35,0.71
140815_1_UWcp14_35C_1,unkn,1,1,0.6812,NA,10.53114654,0.048361846,35,0.71
140815_2_UWcp14_35C_1,unkn,1,1,0.6765,NA,10.53114654,0.048361846,35,0.71
140815_3_UWcp14_20C_4,unkn,1,1,0.704,NA,11.40188158,0.025367829,23,0.33
140815_5_UWcp14_50C_5,C,1,1,0.6234,NA,9.695811136,0.046327323,48,0.77
140815_6_UWcp14_70C_4,C,1,1,0.5952,NA,8.394295329,0.020876795,72,0.43
140820_1_UWcp14_70C_CA_4,C,1,1,0.5666,NA,8.443148975,0.048853645,71,1
140820_2_UWcp14_70C_CA_4,C,1,1,0.5874,NA,8.443148975,0.048853645,71,1
140820_3_UWcp14_70C_CA_4,C,1,1,0.589,NA,8.443148975,0.048853645,71,1
140820_5_UWcp14_50C_7,C,1,1,0.6348,NA,9.343426009,0.112079342,54,1.98
140820_6_UWcp14_50C_7,C,1,1,0.6132,NA,9.343426009,0.112079342,54,1.98
140820_7_UWcp14_50C_7,C,1,1,0.6187,NA,9.343426009,0.112079342,54,1.98
140820_9_UWcp14_50C_8,unkn,1,1,0.6154,NA,9.817712326,0.020271515,46,0.33
140820_10_UWcp14_50C_8,unkn,1,1,0.6341,NA,9.817712326,0.020271515,46,0.33
140820_11_UWcp14_50C_8,unkn,1,1,0.6653,NA,9.817712326,0.020271515,46,0.33
141013_2_UWcp14_80C_3,A,1,1,0.5256,NA,8.018286665,0.028983645,80,0.64
141013_3_UWcp14_80C_3,A,1,1,0.5759,NA,8.018286665,0.028983645,80,0.64
141014_2_UWcp14_70C_DS2,A,1,1,0.5778,NA,8.394295329,0.018453264,72,0.38
141014_3_UWcp14_80C_DS,A,1,1,0.5633,NA,7.752615737,0.001726592,86,0.04
141014_5_UWcp14_80C_DS,A,1,1,0.5069,NA,7.752615737,0.001726592,86,0.04
141014_6_UWcp14_70C_DS2,A,1,1,0.5279,NA,8.394295329,0.018453264,72,0.38
141117_3_50C_CA_10,C,1,1,0.6492,NA,9.576166301,0.043707851,50,0.74
141117_4_50C_CA_10,C,1,1,0.6056,NA,9.576166301,0.043707851,50,0.74
141121_6_UWcp14_50C_CA_9,C,1,1,0.6413,NA,9.635710173,0.031627199,49,0.53
141121_7_UWcp14_50C_CA_9,C,1,1,0.6368,NA,9.635710173,0.031627199,49,0.53
141121_8_UWcp14_50C_DS2,C,1,1,0.6385,NA,9.517172655,0.017591813,51,0.3
141121_9_UWcp14_50C_DS2,C,1,1,0.6045,NA,9.517172655,0.017591813,51,0.3
141209_5_UWcp14_4C_2,C,1,1,0.7618,NA,12.8328978,0.004595899,6,0.05
141209_6_UWcp14_4C_2,C,1,1,0.7455,NA,12.8328978,0.004595899,6,0.05
141209_7_UWcp14_4C_2,C,1,1,0.7921,NA,12.8328978,0.004595899,6,0.05
141209_8_UWcp14_8C_2,C,1,1,0.7231,NA,12.56145338,0.010678102,9,0.12
141209_9_UWcp14_8C_2,C,1,1,0.7543,NA,12.56145338,0.010678102,9,0.12
141210_3_UWcp14_20C_DS,C,1,1,0.7187,NA,11.17434268,0.054337345,26,0.73
